image_url,gender,age,smile,emotion,beauty
https://images.gofundme.com/6Yo6-xHD1zlvCfLUkY2L9jzPH3s=/720x405/https://d2g8igdw686xgo.cloudfront.net/81152905_1719981703727482_r.png,Female,25,97.314,"{'anger': 0.089, 'disgust': 0.089, 'fear': 30.78, 'happiness': 49.861, 'neutral': 0.101, 'sadness': 18.778, 'surprise': 0.301}","{'female_score': 69.357, 'male_score': 68.206}"
https://images.gofundme.com/d8qx_6CixHmlndBKUX4Hz8Cfm2E=/720x405/https://d2g8igdw686xgo.cloudfront.net/82691605_1725986432913950_r.jpeg,Male,77,100.0,"{'anger': 0.0, 'disgust': 0.0, 'fear': 0.016, 'happiness': 99.973, 'neutral': 0.006, 'sadness': 0.005, 'surprise': 0.0}","{'female_score': 49.563, 'male_score': 45.111}"
https://images.gofundme.com/-Nfg5XNxxgzjRIDL5V4hfQnVMeQ=/720x405/https://d2g8igdw686xgo.cloudfront.net/82547385_1725405334728795_r.jpeg,Female,26,2.043,"{'anger': 0.021, 'disgust': 0.004, 'fear': 94.562, 'happiness': 0.002, 'neutral': 0.008, 'sadness': 0.078, 'surprise': 5.325}","{'female_score': 72.981, 'male_score': 62.512}"
https://images.gofundme.com/h3KzPs3lkA1ib253t1HSfKSI1_U=/720x405/https://d2g8igdw686xgo.cloudfront.net/81297443_1720530936273991_r.jpeg,Male,41,99.79,"{'anger': 3.24, 'disgust': 0.127, 'fear': 0.127, 'happiness': 75.217, 'neutral': 2.633, 'sadness': 18.05, 'surprise': 0.606}","{'female_score': 44.602, 'male_score': 40.993}"
https://images.gofundme.com/Lbibqs1EmciaL4Qq1-pBVIZQKB0=/720x405/https://d2g8igdw686xgo.cloudfront.net/82890743_1726806482141968_r.png,Male,25,54.386,"{'anger': 0.242, 'disgust': 0.175, 'fear': 0.026, 'happiness': 0.123, 'neutral': 0.026, 'sadness': 0.117, 'surprise': 99.29}","{'female_score': 58.039, 'male_score': 56.093}"
https://images.gofundme.com/8ao-euc19KXSEbaj8grpErOqx3o=/720x405/https://d2g8igdw686xgo.cloudfront.net/82626493_172571560948598_r.jpeg,Female,28,100.0,"{'anger': 0.016, 'disgust': 7.748, 'fear': 0.107, 'happiness': 92.049, 'neutral': 0.016, 'sadness': 0.048, 'surprise': 0.016}","{'female_score': 51.338, 'male_score': 46.519}"
https://images.gofundme.com/N4hr_FXlxQgwgjom4tsfJnXE2Rc=/720x405/https://d2g8igdw686xgo.cloudfront.net/82451205_1725228407453424_r.jpeg,Male,25,99.995,"{'anger': 0.003, 'disgust': 0.113, 'fear': 0.003, 'happiness': 99.458, 'neutral': 0.22, 'sadness': 0.199, 'surprise': 0.003}","{'female_score': 51.863, 'male_score': 49.052}"
https://images.gofundme.com/mFqaNQ2ZiKE7_W7ObYWCzhs3v1s=/720x405/https://d2g8igdw686xgo.cloudfront.net/81598061_1721743811991141_r.jpg,Male,32,99.998,"{'anger': 0.008, 'disgust': 0.001, 'fear': 0.005, 'happiness': 60.148, 'neutral': 39.834, 'sadness': 0.001, 'surprise': 0.001}","{'female_score': 58.852, 'male_score': 58.63}"
https://images.gofundme.com/0tDxCBtgltJ_az_qzT4AL4cBJVk=/720x405/https://d2g8igdw686xgo.cloudfront.net/82807101_1726493102366297_r.jpeg,Male,51,93.363,"{'anger': 0.008, 'disgust': 0.023, 'fear': 0.052, 'happiness': 98.236, 'neutral': 1.495, 'sadness': 0.14, 'surprise': 0.046}","{'female_score': 46.625, 'male_score': 37.028}"
https://images.gofundme.com/qBov3UVCfpHJhbQoCp50joFDilw=/720x405/https://d2g8igdw686xgo.cloudfront.net/81297591_1720531644815952_r.jpeg,Female,48,95.52,"{'anger': 0.001, 'disgust': 0.011, 'fear': 0.001, 'happiness': 99.971, 'neutral': 0.013, 'sadness': 0.001, 'surprise': 0.001}","{'female_score': 44.351, 'male_score': 39.753}"
https://images.gofundme.com/usPo9Fkesf2L8C-msOVK6uMiKrU=/720x405/https://d2g8igdw686xgo.cloudfront.net/82713359_1726072881157252_r.jpeg,Male,58,94.405,"{'anger': 1.334, 'disgust': 0.401, 'fear': 11.247, 'happiness': 38.495, 'neutral': 48.374, 'sadness': 0.074, 'surprise': 0.074}","{'female_score': 51.674, 'male_score': 54.704}"
https://images.gofundme.com/Cvr-uw9NaswnmB7tLlCvn_bbElg=/720x405/https://d2g8igdw686xgo.cloudfront.net/82756167_1726494120576333_r.jpeg,Male,52,69.955,"{'anger': 0.457, 'disgust': 0.12, 'fear': 0.11, 'happiness': 25.153, 'neutral': 1.419, 'sadness': 71.955, 'surprise': 0.786}","{'female_score': 49.65, 'male_score': 49.289}"
